# This is a data output from.
# Independent variables are entropy and pressure.
# POINTS: 56 200
s,J/K/kg            P(bar)              T(K)                rho,kg/m3           alpha,1/K           cp,J/K/kg           vp,km/s             vs,km/s             h,J/kg              
1.25000000e+03      2.63819400e+05      6.93631941e+02      4.45715349e+03      2.01906262e-05      4.81434933e+06      1.14241708e+01      6.68244893e+00      -6.25980226e+06    
1.30000000e+03      2.63819400e+05      7.26092929e+02      4.45417387e+03      2.04324772e-05      4.86208875e+06      1.14133958e+01      6.67291257e+00      -6.22435153e+06    
1.35000000e+03      2.63819400e+05      7.59807988e+02      4.45104864e+03      2.06627786e-05      4.90591762e+06      1.14019568e+01      6.66274609e+00      -6.18715272e+06    
1.40000000e+03      2.63819400e+05      7.94695695e+02      4.44779397e+03      2.08840688e-05      4.94655513e+06      1.13899559e+01      6.65205029e+00      -6.14834141e+06    
1.45000000e+03      2.63819400e+05      8.31145170e+02      4.44440164e+03      2.11005659e-05      4.98426166e+06      1.13768541e+01      6.64037155e+00      -6.10768121e+06    
1.50000000e+03      2.63819400e+05      8.68687124e+02      4.44081538e+03      2.13052418e-05      5.01876546e+06      1.13636392e+01      6.62861367e+00      -6.06517336e+06    
1.55000000e+03      2.63819400e+05      9.07623573e+02      4.43707521e+03      2.15041121e-05      5.05077461e+06      1.13497940e+01      6.61631621e+00      -6.02077718e+06    
1.60000000e+03      2.63819400e+05      9.47842048e+02      4.43313840e+03      2.16953142e-05      5.08026716e+06      1.13354764e+01      6.60354423e+00      -5.97440110e+06    
1.65000000e+03      2.63819400e+05      9.89529666e+02      4.42901579e+03      2.18817036e-05      5.10760413e+06      1.13204823e+01      6.59021767e+00      -5.92597876e+06    
1.70000000e+03      2.63819400e+05      1.03306930e+03      4.42474575e+03      2.20698021e-05      5.13330488e+06      1.13044487e+01      6.57596534e+00      -5.87540958e+06    
1.75000000e+03      2.63819400e+05      1.07795636e+03      4.42023326e+03      2.22510034e-05      5.15698318e+06      1.12879802e+01      6.56125901e+00      -5.82263466e+06    
1.80000000e+03      2.63819400e+05      1.12459987e+03      4.41553501e+03      2.24323200e-05      5.17916797e+06      1.12705675e+01      6.54569864e+00      -5.76758178e+06    
1.85000000e+03      2.63819400e+05      1.17303171e+03      4.41062059e+03      2.26140548e-05      5.20000104e+06      1.12520410e+01      6.52905281e+00      -5.71017038e+06    
1.90000000e+03      2.63819400e+05      1.21223393e+03      4.41634645e+03      2.28934791e-05      5.23416940e+06      1.12349934e+01      6.49529762e+00      -5.65018467e+06    
1.95000000e+03      2.63819400e+05      1.23152660e+03      4.40065902e+03      2.27470742e-05      5.23454460e+06      1.11028398e+01      6.33684551e+00      -5.58882064e+06    
2.00000000e+03      2.63819400e+05      1.25473612e+03      4.40027748e+03      2.28335231e-05      5.25701263e+06      1.10274325e+01      6.22790343e+00      -5.52679346e+06    
2.05000000e+03      2.63819400e+05      1.29096869e+03      4.42075777e+03      2.32825908e-05      5.31008133e+06      1.10491072e+01      6.21524100e+00      -5.46327671e+06    
2.10000000e+03      2.63819400e+05      1.34509763e+03      4.41749554e+03      2.34803367e-05      5.32890396e+06      1.10415655e+01      6.20808899e+00      -5.39742050e+06    
2.15000000e+03      2.63819400e+05      1.40093875e+03      4.41651867e+03      2.37235928e-05      5.35078795e+06      1.10412573e+01      6.20713185e+00      -5.32872522e+06    
2.20000000e+03      2.63819400e+05      1.45862939e+03      4.41632154e+03      2.39893277e-05      5.37383159e+06      1.10435058e+01      6.20836525e+00      -5.25719519e+06    
2.25000000e+03      2.63819400e+05      1.52211320e+03      4.38938299e+03      2.38037422e-05      5.35684317e+06      1.09629793e+01      6.13775630e+00      -5.18207632e+06    
2.30000000e+03      2.63819400e+05      1.58094732e+03      4.41165471e+03      2.44790921e-05      5.41403362e+06      1.10353118e+01      6.19943115e+00      -5.10515868e+06    
2.35000000e+03      2.63819400e+05      1.64608622e+03      4.40946328e+03      2.47499572e-05      5.43509159e+06      1.10321264e+01      6.19563114e+00      -5.02446154e+06    
2.40000000e+03      2.63819400e+05      1.71330889e+03      4.40528089e+03      2.49939212e-05      5.45321625e+06      1.10225788e+01      6.18620062e+00      -4.94038804e+06    
2.45000000e+03      2.63819400e+05      1.78427393e+03      4.39499784e+03      2.51431729e-05      5.46212837e+06      1.09937492e+01      6.16006601e+00      -4.85299600e+06    
2.50000000e+03      2.63819400e+05      1.85655370e+03      4.39097223e+03      2.54197136e-05      5.48155919e+06      1.09850820e+01      6.15112400e+00      -4.76201037e+06    
2.55000000e+03      2.63819400e+05      1.93119092e+03      4.38919625e+03      2.57579691e-05      5.50564492e+06      1.09840091e+01      6.14853962e+00      -4.66728503e+06    
2.60000000e+03      2.63819400e+05      2.00918747e+03      4.38210561e+03      2.60121187e-05      5.52164599e+06      1.09658597e+01      6.13109335e+00      -4.56880597e+06    
2.65000000e+03      2.63819400e+05      2.08879644e+03      4.37562597e+03      2.62905994e-05      5.53925010e+06      1.09494190e+01      6.11477404e+00      -4.46610073e+06    
2.70000000e+03      2.63819400e+05      2.17306248e+03      4.37280690e+03      2.66815275e-05      5.56546976e+06      1.09464447e+01      6.11007762e+00      -4.35977192e+06    
2.75000000e+03      2.63819400e+05      2.25987025e+03      4.36264642e+03      2.69358188e-05      5.57919626e+06      1.09185523e+01      6.08375573e+00      -4.24896957e+06    
2.80000000e+03      2.63819400e+05      2.34970886e+03      4.35206265e+03      2.72030120e-05      5.59326078e+06      1.08894518e+01      6.05606157e+00      -4.13374422e+06    
2.85000000e+03      2.63819400e+05      2.44266317e+03      4.34101988e+03      2.74843087e-05      5.60776851e+06      1.08587689e+01      6.02692652e+00      -4.01392503e+06    
2.90000000e+03      2.63819400e+05      2.53874814e+03      4.32952587e+03      2.77808274e-05      5.62278514e+06      1.08266554e+01      5.99627762e+00      -3.88942580e+06    
2.95000000e+03      2.63819400e+05      2.63808028e+03      4.31752926e+03      2.80942016e-05      5.63841476e+06      1.07930274e+01      5.96399730e+00      -3.76001885e+06    
3.00000000e+03      2.63819400e+05      2.74071837e+03      4.30503778e+03      2.84259119e-05      5.65476050e+06      1.07577182e+01      5.93000861e+00      -3.62555082e+06    
3.05000000e+03      2.63819400e+05      2.84670881e+03      4.29201630e+03      2.87775990e-05      5.67193153e+06      1.07205666e+01      5.89417966e+00      -3.48587072e+06    
3.10000000e+03      2.63819400e+05      2.95608607e+03      4.27844414e+03      2.91510089e-05      5.69002550e+06      1.06816569e+01      5.85642145e+00      -3.34083137e+06    
3.15000000e+03      2.63819400e+05      3.06893669e+03      4.26430331e+03      2.95485120e-05      5.70920293e+06      1.06407902e+01      5.81659714e+00      -3.19021925e+06    
3.20000000e+03      2.63819400e+05      3.18528130e+03      4.24956993e+03      2.99720525e-05      5.72958186e+06      1.05978382e+01      5.77450427e+00      -3.03386516e+06    
3.25000000e+03      2.63819400e+05      3.30513182e+03      4.23422845e+03      3.04243863e-05      5.75130747e+06      1.05526458e+01      5.73008702e+00      -2.87165649e+06    
3.30000000e+03      2.63819400e+05      3.42857000e+03      4.21823615e+03      3.09087286e-05      5.77460582e+06      1.05051770e+01      5.68310122e+00      -2.70331099e+06    
5.50000000e+02      2.71357090e+05      3.43177471e+02      4.49843076e+03      1.44887964e-05      3.53229717e+06      1.15769904e+01      6.81477747e+00      -6.44657779e+06    
6.00000000e+02      2.71357090e+05      3.65206276e+02      4.49695904e+03      1.51399952e-05      3.69361095e+06      1.15715300e+01      6.80986701e+00      -6.42888975e+06    
6.50000000e+02      2.71357090e+05      3.87649819e+02      4.49540314e+03      1.57338276e-05      3.83996493e+06      1.15656497e+01      6.80464413e+00      -6.41008885e+06    
7.00000000e+02      2.71357090e+05      4.10380399e+02      4.49373428e+03      1.62693337e-05      3.97109462e+06      1.15592801e+01      6.79873680e+00      -6.39011136e+06    
7.50000000e+02      2.71357090e+05      4.30086646e+02      4.49172721e+03      1.66881354e-05      4.07302030e+06      1.15493835e+01      6.78735109e+00      -6.36906029e+06    
8.00000000e+02      2.71357090e+05      4.54068785e+02      4.48990004e+03      1.71490429e-05      4.18410029e+06      1.15424170e+01      6.78109507e+00      -6.34691855e+06    
8.50000000e+02      2.71357090e+05      4.78802159e+02      4.48796495e+03      1.75753606e-05      4.28572712e+06      1.15351037e+01      6.77458790e+00      -6.32355629e+06    
9.00000000e+02      2.71357090e+05      5.04255284e+02      4.48593678e+03      1.79703459e-05      4.37871841e+06      1.15274848e+01      6.76773490e+00      -6.29896680e+06    
9.50000000e+02      2.71357090e+05      5.30470964e+02      4.48380501e+03      1.83375658e-05      4.46395752e+06      1.15194178e+01      6.76051682e+00      -6.27312604e+06    
1.00000000e+03      2.71357090e+05      5.52671570e+02      4.48120850e+03      1.86161627e-05      4.52782344e+06      1.15068716e+01      6.74592132e+00      -6.24611859e+06    
1.05000000e+03      2.71357090e+05      5.78633554e+02      4.47876102e+03      1.89181238e-05      4.59586454e+06      1.14966078e+01      6.73555430e+00      -6.21800405e+06    
1.10000000e+03      2.71357090e+05      6.04603400e+02      4.47609845e+03      1.91905223e-05      4.65599540e+06      1.14849328e+01      6.72314525e+00      -6.18831309e+06    
1.15000000e+03      2.71357090e+05      6.33795970e+02      4.47350325e+03      1.94714034e-05      4.71676591e+06      1.14751484e+01      6.71426158e+00      -6.15733094e+06    
1.20000000e+03      2.71357090e+05      6.64229100e+02      4.47082249e+03      1.97404512e-05      4.77361887e+06      1.14651955e+01      6.70535535e+00      -6.12496466e+06    
1.25000000e+03      2.71357090e+05      6.95819623e+02      4.46799236e+03      1.99924128e-05      4.82537448e+06      1.14547623e+01      6.69610792e+00      -6.09088375e+06    
1.30000000e+03      2.71357090e+05      7.28388993e+02      4.46503232e+03      2.02319391e-05      4.87331199e+06      1.14441166e+01      6.68660430e+00      -6.05536771e+06    
1.35000000e+03      2.71357090e+05      7.62235241e+02      4.46192338e+03      2.04589779e-05      4.91711781e+06      1.14326824e+01      6.67647847e+00      -6.01801770e+06    
1.40000000e+03      2.71357090e+05      7.97288957e+02      4.45867881e+03      2.06777854e-05      4.95779616e+06      1.14206283e+01      6.66576892e+00      -5.97906272e+06    
1.45000000e+03      2.71357090e+05      8.33787659e+02      4.45529971e+03      2.08908754e-05      4.99557068e+06      1.14077169e+01      6.65422755e+00      -5.93832374e+06    
1.50000000e+03      2.71357090e+05      8.71471254e+02      4.45173147e+03      2.10924648e-05      5.03007723e+06      1.13946290e+01      6.64251310e+00      -5.89566248e+06    
1.55000000e+03      2.71357090e+05      9.10374342e+02      4.44797778e+03      2.12854534e-05      5.06187348e+06      1.13810177e+01      6.63039890e+00      -5.85110010e+06    
1.60000000e+03      2.71357090e+05      9.50663536e+02      4.44403977e+03      2.14724856e-05      5.09130056e+06      1.13668417e+01      6.61773244e+00      -5.80456699e+06    
1.65000000e+03      2.71357090e+05      9.92747067e+02      4.43997469e+03      2.16600948e-05      5.11892070e+06      1.13516525e+01      6.60423290e+00      -5.75598079e+06    
1.70000000e+03      2.71357090e+05      1.03622701e+03      4.43568855e+03      2.18415970e-05      5.14441815e+06      1.13359357e+01      6.59020667e+00      -5.70525750e+06    
1.75000000e+03      2.71357090e+05      1.08143533e+03      4.43123253e+03      2.20225900e-05      5.16826373e+06      1.13193842e+01      6.57543242e+00      -5.65231639e+06    
1.80000000e+03      2.71357090e+05      1.12829478e+03      4.42655727e+03      2.22016210e-05      5.19049880e+06      1.13020804e+01      6.55998016e+00      -5.59709323e+06    
1.85000000e+03      2.71357090e+05      1.17680387e+03      4.42181621e+03      2.23822727e-05      5.21153159e+06      1.12837277e+01      6.54328222e+00      -5.53950801e+06    
1.90000000e+03      2.71357090e+05      1.20489454e+03      4.43895143e+03      2.27741671e-05      5.26142184e+06      1.12696593e+01      6.49174177e+00      -5.47975587e+06    
1.95000000e+03      2.71357090e+05      1.22118547e+03      4.46835753e+03      2.32849945e-05      5.32785992e+06      1.12594806e+01      6.42211847e+00      -5.41950425e+06    
2.00000000e+03      2.71357090e+05      1.25457038e+03      4.48043928e+03      2.36241971e-05      5.36960407e+06      1.12504048e+01      6.38290401e+00      -5.35773186e+06    
2.05000000e+03      2.71357090e+05      1.30097425e+03      4.47952157e+03      2.38399378e-05      5.39233952e+06      1.12378433e+01      6.36437894e+00      -5.29402471e+06    
2.10000000e+03      2.71357090e+05      1.35186772e+03      4.46742077e+03      2.39055315e-05      5.39810456e+06      1.11997594e+01      6.33103333e+00      -5.22759775e+06    
2.15000000e+03      2.71357090e+05      1.40400404e+03      4.44159683e+03      2.37496351e-05      5.38288083e+06      1.11164463e+01      6.25847619e+00      -5.15859262e+06    
2.20000000e+03      2.71357090e+05      1.46226938e+03      4.44006025e+03      2.39946748e-05      5.40434445e+06      1.11149368e+01      6.25644748e+00      -5.08699841e+06    
2.25000000e+03      2.71357090e+05      1.52222449e+03      4.44183557e+03      2.43065669e-05      5.43090225e+06      1.11243537e+01      6.26369973e+00      -5.01248809e+06    
2.30000000e+03      2.71357090e+05      1.58563536e+03      4.43496838e+03      2.44830903e-05      5.44473068e+06      1.11061754e+01      6.24707960e+00      -4.93479710e+06    
2.35000000e+03      2.71357090e+05      1.65022066e+03      4.43619546e+03      2.48120508e-05      5.47125963e+06      1.11144578e+01      6.25311472e+00      -4.85400061e+06    
2.40000000e+03      2.71357090e+05      1.71782213e+03      4.43288105e+03      2.50759263e-05      5.49128550e+06      1.11082446e+01      6.24656109e+00      -4.76984244e+06    
2.45000000e+03      2.71357090e+05      1.78799371e+03      4.42838148e+03      2.53325339e-05      5.50995226e+06      1.10984249e+01      6.23671231e+00      -4.68225900e+06    
2.50000000e+03      2.71357090e+05      1.86108339e+03      4.42017016e+03      2.55338210e-05      5.52306145e+06      1.10765710e+01      6.21626903e+00      -4.59105000e+06    
2.55000000e+03      2.71357090e+05      1.93685008e+03      4.41160039e+03      2.57430639e-05      5.53612091e+06      1.10536430e+01      6.19479742e+00      -4.49610603e+06    
2.60000000e+03      2.71357090e+05      2.01535937e+03      4.40266230e+03      2.59609602e-05      5.54920060e+06      1.10296532e+01      6.17224680e+00      -4.39730511e+06    
2.65000000e+03      2.71357090e+05      2.09666186e+03      4.39334542e+03      2.61882728e-05      5.56238838e+06      1.10044677e+01      6.14854235e+00      -4.29453353e+06    
2.70000000e+03      2.71357090e+05      2.18087354e+03      4.38363077e+03      2.64263573e-05      5.57574642e+06      1.09781517e+01      6.12364265e+00      -4.18761927e+06    
2.75000000e+03      2.71357090e+05      2.26805745e+03      4.37350685e+03      2.66757194e-05      5.58936260e+06      1.09504255e+01      6.09744173e+00      -4.07639986e+06    
2.80000000e+03      2.71357090e+05      2.35830037e+03      4.36294630e+03      2.69377444e-05      5.60330926e+06      1.09214778e+01      6.06990148e+00      -3.96073704e+06    
2.85000000e+03      2.71357090e+05      2.45161902e+03      4.35194913e+03      2.72133302e-05      5.61767558e+06      1.08910698e+01      6.04093686e+00      -3.84053133e+06    
2.90000000e+03      2.71357090e+05      2.54816688e+03      4.34047273e+03      2.75040029e-05      5.63255174e+06      1.08592124e+01      6.01045621e+00      -3.71553602e+06    
2.95000000e+03      2.71357090e+05      2.64793792e+03      4.32852608e+03      2.78109026e-05      5.64802051e+06      1.08257567e+01      5.97836560e+00      -3.58567012e+06    
3.00000000e+03      2.71357090e+05      2.75104145e+03      4.31606113e+03      2.81355199e-05      5.66418313e+06      1.07906233e+01      5.94455277e+00      -3.45069716e+06    
3.05000000e+03      2.71357090e+05      2.85752351e+03      4.30307983e+03      2.84795713e-05      5.68114885e+06      1.07538516e+01      5.90893401e+00      -3.31050703e+06    
3.10000000e+03      2.71357090e+05      2.96745214e+03      4.28955143e+03      2.88449429e-05      5.69903143e+06      1.07151643e+01      5.87139214e+00      -3.16488643e+06    
3.15000000e+03      2.71357090e+05      3.08084577e+03      4.27545932e+03      2.92335594e-05      5.71796058e+06      1.06745699e+01      5.83177504e+00      -3.01369093e+06    
3.20000000e+03      2.71357090e+05      3.19776366e+03      4.26077898e+03      2.96473830e-05      5.73806843e+06      1.06320284e+01      5.78996527e+00      -2.85675353e+06    
3.25000000e+03      2.71357090e+05      3.31825568e+03      4.24547163e+03      3.00893788e-05      5.75951496e+06      1.05872107e+01      5.74580429e+00      -2.69385946e+06    
3.30000000e+03      2.71357090e+05      3.44233656e+03      4.22954065e+03      3.05621244e-05      5.78245625e+06      1.05400859e+01      5.69912872e+00      -2.52485650e+06    
5.50000000e+02      2.78894780e+05      3.44227377e+02      4.50909328e+03      1.43531687e-05      3.54116937e+06      1.16066390e+01      6.82788139e+00      -6.27923727e+06    
6.00000000e+02      2.78894780e+05      3.66320319e+02      4.50763407e+03      1.49981233e-05      3.70281223e+06      1.16011529e+01      6.82298721e+00      -6.26149119e+06    
6.50000000e+02      2.78894780e+05      3.88850074e+02      4.50607787e+03      1.55840690e-05      3.84894172e+06      1.15953295e+01      6.81777752e+00      -6.24260307e+06    
7.00000000e+02      2.78894780e+05      4.11450183e+02      4.50439748e+03      1.61098338e-05      3.97919379e+06      1.15887645e+01      6.81158844e+00      -6.22253965e+06    
7.50000000e+02      2.78894780e+05      4.31344520e+02      4.50241256e+03      1.65280576e-05      4.08221095e+06      1.15791445e+01      6.80046380e+00      -6.20143150e+06    
8.00000000e+02      2.78894780e+05      4.55477070e+02      4.50058381e+03      1.69854694e-05      4.19379144e+06      1.15722355e+01      6.79432497e+00      -6.17921984e+06    
8.50000000e+02      2.78894780e+05      4.80282449e+02      4.49866431e+03      1.74078009e-05      4.29569924e+06      1.15650660e+01      6.78784614e+00      -6.15579640e+06    
9.00000000e+02      2.78894780e+05      5.05808149e+02      4.49664215e+03      1.77990168e-05      4.38894386e+06      1.15574111e+01      6.78101291e+00      -6.13114082e+06    
9.50000000e+02      2.78894780e+05      5.32096418e+02      4.49451692e+03      1.81626650e-05      4.47442436e+06      1.15493913e+01      6.77382449e+00      -6.10523568e+06    
1.00000000e+03      2.78894780e+05      5.53965691e+02      4.49190436e+03      1.84330861e-05      4.53720675e+06      1.15365827e+01      6.75873191e+00      -6.07813801e+06    
1.05000000e+03      2.78894780e+05      5.80342964e+02      4.48948448e+03      1.87359213e-05      4.60629166e+06      1.15266678e+01      6.74886652e+00      -6.04990284e+06    
1.10000000e+03      2.78894780e+05      6.06821460e+02      4.48685295e+03      1.90096428e-05      4.66742206e+06      1.15153340e+01      6.73702177e+00      -6.02008593e+06    
1.15000000e+03      2.78894780e+05      6.35766185e+02      4.48425306e+03      1.92842832e-05      4.72762514e+06      1.15053739e+01      6.72768383e+00      -5.98904221e+06    
1.20000000e+03      2.78894780e+05      6.66308195e+02      4.48157904e+03      1.95497532e-05      4.78450140e+06      1.14954194e+01      6.71885464e+00      -5.95655623e+06    
1.25000000e+03      2.78894780e+05      6.98033505e+02      4.47876857e+03      1.97997330e-05      4.83644586e+06      1.14850336e+01      6.70953729e+00      -5.92239322e+06    
1.30000000e+03      2.78894780e+05      7.30778241e+02      4.47582286e+03      2.00371246e-05      4.88449156e+06      1.14742412e+01      6.69990236e+00      -5.88673151e+06    
1.35000000e+03      2.78894780e+05      7.64593091e+02      4.47271220e+03      2.02592316e-05      4.92820614e+06      1.14631539e+01      6.69008898e+00      -5.84929452e+06    
1.40000000e+03      2.78894780e+05      7.99837954e+02      4.46948346e+03      2.04759672e-05      4.96896853e+06      1.14511071e+01      6.67933322e+00      -5.81019300e+06    
1.45000000e+03      2.78894780e+05      8.36413171e+02      4.46612326e+03      2.06856843e-05      5.00677008e+06      1.14383104e+01      6.66792989e+00      -5.76934483e+06    
1.50000000e+03      2.78894780e+05      8.74202894e+02      4.46256775e+03      2.08844037e-05      5.04130572e+06      1.14252803e+01      6.65627012e+00      -5.72656160e+06    
1.55000000e+03      2.78894780e+05      9.13074944e+02      4.45880119e+03      2.10717150e-05      5.07290639e+06      1.14119798e+01      6.64432089e+00      -5.68183982e+06    
1.60000000e+03      2.78894780e+05      9.53639796e+02      4.45490173e+03      2.12580157e-05      5.10250000e+06      1.13977356e+01      6.63160314e+00      -5.63515741e+06    
1.65000000e+03      2.78894780e+05      9.95780539e+02      4.45083722e+03      2.14412423e-05      5.13003178e+06      1.13827487e+01      6.61820917e+00      -5.58640864e+06    
1.70000000e+03      2.78894780e+05      1.03953695e+03      4.44659551e+03      2.16220158e-05      5.15567013e+06      1.13669823e+01      6.60414756e+00      -5.53553196e+06    
1.75000000e+03      2.78894780e+05      1.08488663e+03      4.44214780e+03      2.17998575e-05      5.17950839e+06      1.13505204e+01      6.58944558e+00      -5.48243663e+06    
1.80000000e+03      2.78894780e+05      1.13203760e+03      4.43751957e+03      2.19779328e-05      5.20186528e+06      1.13332681e+01      6.57403265e+00      -5.42704703e+06    
1.85000000e+03      2.78894780e+05      1.15979811e+03      4.45433854e+03      2.23765037e-05      5.25237905e+06      1.13169080e+01      6.52124316e+00      -5.36947630e+06    
1.90000000e+03      2.78894780e+05      1.18021020e+03      4.47907305e+03      2.28572829e-05      5.31324099e+06      1.13037681e+01      6.45664062e+00      -5.31102023e+06    
1.95000000e+03      2.78894780e+05      1.20930425e+03      4.49528566e+03      2.32462676e-05      5.36178638e+06      1.12939275e+01      6.40912225e+00      -5.25135127e+06    
2.00000000e+03      2.78894780e+05      1.25423085e+03      4.49510400e+03      2.34637679e-05      5.38630647e+06      1.12815877e+01      6.38933194e+00      -5.18989258e+06    
2.05000000e+03      2.78894780e+05      1.30452886e+03      4.49022081e+03      2.36379312e-05      5.40337381e+06      1.12677615e+01      6.37689511e+00      -5.12597574e+06    
2.10000000e+03      2.78894780e+05      1.35613640e+03      4.48552103e+03      2.38263653e-05      5.42024304e+06      1.12537680e+01      6.36451459e+00      -5.05937362e+06    
2.15000000e+03      2.78894780e+05      1.41038798e+03      4.48006537e+03      2.40019356e-05      5.43591223e+06      1.12385456e+01      6.35074024e+00      -4.99027002e+06    
2.20000000e+03      2.78894780e+05      1.46595913e+03      4.47478111e+03      2.41936103e-05      5.45157046e+06      1.12231575e+01      6.33697371e+00      -4.91832029e+06    
2.25000000e+03      2.78894780e+05      1.52583710e+03      4.46854137e+03      2.43726701e-05      5.46630992e+06      1.12064360e+01      6.32166440e+00      -4.84357583e+06    
2.30000000e+03      2.78894780e+05      1.58929190e+03      4.46162016e+03      2.45475461e-05      5.48035914e+06      1.11884282e+01      6.30493316e+00      -4.76570677e+06    
2.35000000e+03      2.78894780e+05      1.65510591e+03      4.45440151e+03      2.47270799e-05      5.49403535e+06      1.11695843e+01      6.28737113e+00      -4.68461937e+06    
2.40000000e+03      2.78894780e+05      1.72336576e+03      4.44687133e+03      2.49118625e-05      5.50742109e+06      1.11497738e+01      6.26892330e+00      -4.60016787e+06    
2.45000000e+03      2.78894780e+05      1.79414243e+03      4.43901194e+03      2.51030944e-05      5.52060309e+06      1.11290786e+01      6.24957995e+00      -4.51227976e+06    
2.50000000e+03      2.78894780e+05      1.86754585e+03      4.43081827e+03      2.53007842e-05      5.53364364e+06      1.11073301e+01      6.22921189e+00      -4.42070855e+06    
2.55000000e+03      2.78894780e+05      1.94359314e+03      4.42227796e+03      2.55062108e-05      5.54663236e+06      1.10845879e+01      6.20785436e+00      -4.32547121e+06    
2.60000000e+03      2.78894780e+05      2.02242287e+03      4.41336364e+03      2.57202871e-05      5.55963974e+06      1.10607362e+01      6.18542039e+00      -4.22631497e+06    
2.65000000e+03      2.78894780e+05      2.10408631e+03      4.40407284e+03      2.59436910e-05      5.57272992e+06      1.10356682e+01      6.16184381e+00      -4.12315914e+06    
2.70000000e+03      2.78894780e+05      2.18864465e+03      4.39438846e+03      2.61770766e-05      5.58599307e+06      1.10095227e+01      6.13705108e+00      -4.01585555e+06    
2.75000000e+03      2.78894780e+05      2.27618656e+03      4.38428955e+03      2.64217000e-05      5.59950262e+06      1.09820316e+01      6.11099519e+00      -3.90425366e+06    
2.80000000e+03      2.78894780e+05      2.36679427e+03      4.37376743e+03      2.66785082e-05      5.61333142e+06      1.09532155e+01      6.08358835e+00      -3.78820011e+06    
2.85000000e+03      2.78894780e+05      2.46053298e+03      4.36279045e+03      2.69487489e-05      5.62756382e+06      1.09230692e+01      6.05476759e+00      -3.66753493e+06    
2.90000000e+03      2.78894780e+05      2.55748946e+03      4.35135814e+03      2.72335624e-05      5.64228953e+06      1.08913893e+01      6.02444002e+00      -3.54210429e+06    
2.95000000e+03      2.78894780e+05      2.65772932e+03      4.33943593e+03      2.75342564e-05      5.65760922e+06      1.08582020e+01      5.99251574e+00      -3.41172434e+06    
3.00000000e+03      2.78894780e+05      2.76129126e+03      4.32701318e+03      2.78521919e-05      5.67359355e+06      1.08233513e+01      5.95889838e+00      -3.27627560e+06    
3.05000000e+03      2.78894780e+05      2.86827681e+03      4.31407061e+03      2.81890391e-05      5.69037445e+06      1.07867577e+01      5.92347856e+00      -3.13554511e+06    
3.10000000e+03      2.78894780e+05      2.97871600e+03      4.30058400e+03      2.85466000e-05      5.70804400e+06      1.07484000e+01      5.88615200e+00      -2.98939200e+06    
3.15000000e+03      2.78894780e+05      3.09266179e+03      4.28652729e+03      2.89265557e-05      5.72673642e+06      1.07080952e+01      5.84676639e+00      -2.83762004e+06    
3.20000000e+03      2.78894780e+05      3.21017944e+03      4.27189217e+03      2.93314314e-05      5.74658680e+06      1.06657839e+01      5.80520732e+00      -2.68004842e+06    
3.25000000e+03      2.78894780e+05      3.33126875e+03      4.25664358e+03      2.97631933e-05      5.76773792e+06      1.06213401e+01      5.76132039e+00      -2.51653835e+06    
3.30000000e+03      2.78894780e+05      3.45598000e+03      4.24076000e+03      3.02248000e-05      5.79036000e+06      1.05746000e+01      5.71494000e+00      -2.34689000e+06    
5.50000000e+02      2.86432470e+05      3.45268096e+02      4.51968723e+03      1.42205141e-05      3.54999782e+06      1.16360897e+01      6.84086073e+00      -6.11228620e+06    
6.00000000e+02      2.86432470e+05      3.67440262e+02      4.51822826e+03      1.48573140e-05      3.71142515e+06      1.16306658e+01      6.83597177e+00      -6.09445161e+06    
6.50000000e+02      2.86432470e+05      3.90042125e+02      4.51668387e+03      1.54374307e-05      3.85777628e+06      1.16248210e+01      6.83076680e+00      -6.07549332e+06    
7.00000000e+02      2.86432470e+05      4.12508670e+02      4.51499225e+03      1.59539015e-05      3.98727355e+06      1.16181428e+01      6.82431555e+00      -6.05537101e+06    
7.50000000e+02      2.86432470e+05      4.32668047e+02      4.51302463e+03      1.63724199e-05      4.09156296e+06      1.16086760e+01      6.81354253e+00      -6.03419085e+06    
8.00000000e+02      2.86432470e+05      4.56871157e+02      4.51120890e+03      1.68257057e-05      4.20343855e+06      1.16018364e+01      6.80742273e+00      -6.01191840e+06    
8.50000000e+02      2.86432470e+05      4.81747259e+02      4.50929358e+03      1.72441036e-05      4.30562403e+06      1.15946736e+01      6.80096809e+00      -5.98843548e+06    
9.00000000e+02      2.86432470e+05      5.07344047e+02      4.50728105e+03      1.76316677e-05      4.39913451e+06      1.15871034e+01      6.79416741e+00      -5.96372038e+06    
9.50000000e+02      2.86432470e+05      5.33704425e+02      4.50516482e+03      1.79918119e-05      4.48484881e+06      1.15791008e+01      6.78700609e+00      -5.93774870e+06    
1.00000000e+03      2.86432470e+05      5.55245322e+02      4.50252597e+03      1.82541193e-05      4.54654305e+06      1.15661013e+01      6.77142015e+00      -5.91056257e+06    
1.05000000e+03      2.86432470e+05      5.82025178e+02      4.50012534e+03      1.85569574e-05      4.61645155e+06      1.15563862e+01      6.76195059e+00      -5.88216909e+06    
1.10000000e+03      2.86432470e+05      6.08904384e+02      4.49753408e+03      1.88316182e-05      4.67854340e+06      1.15454213e+01      6.75060501e+00      -5.85228056e+06    
1.15000000e+03      2.86432470e+05      6.37709727e+02      4.49492886e+03      1.91011520e-05      4.73841909e+06      1.15353537e+01      6.74101740e+00      -5.82115803e+06    
